City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,joao pinheiro,-17.7425,-46.1725,20.13,63,96,2.26,BR,1690178400
140,sittwe,20.15,92.9,30.19,76,93,4.71,MM,1690178400
141,pariaman,-0.619,100.12,29.14,70,98,2.38,ID,1690178400
142,tangalle,6.024,80.7911,30.14,70,64,6.73,LK,1690178400
143,afaahiti,-17.75,-149.2833,25.25,82,92,4.37,PF,1690178400
144,chonchi,-42.6128,-73.8092,3.46,89,100,2.32,CL,1690178400
145,klyuchi,52.2667,79.1667,31.53,28,58,3.64,RU,1690178400
146,nagqu,31.5,92.0,4.15,98,100,1.38,CN,1690178400
147,ishigaki,24.3448,124.1572,31.87,69,43,5.6,JP,1690178400
148,uturoa,-16.7333,-151.4333,26.08,77,65,4.52,PF,1690178400
149,tumwater,47.0073,-122.9093,19.12,67,0,1.94,US,1690178400
150,vadso,70.0744,29.7487,9.66,91,83,5.14,NO,1690178400
151,alofi,-19.0595,-169.9187,25.2,65,31,6.84,NU,1690178400
152,xining,36.6167,101.7667,25.99,42,88,1.73,CN,1690178400
153,vecpiebalga,57.0599,25.8127,13.53,94,100,1.39,LV,1690178400
154,jamestown,42.097,-79.2353,17.84,84,19,2.35,US,1690178400
155,aleksandrovsk-sakhalinskiy,50.8975,142.1561,22.28,67,87,2.34,RU,1690178400
156,donnacona,46.6804,-71.7239,16.82,93,0,1.3,CA,1690178400
157,puerto armuelles,8.2833,-82.8667,26.6,80,100,1.81,PA,1690178400
158,vila velha,-20.3297,-40.2925,20.87,93,41,0.48,BR,1690178400
159,teluk nibung,3.001,99.8164,31.04,64,94,2.7,ID,1690178400
160,reggane,26.7158,0.1714,36.54,15,59,4.33,DZ,1690178400
161,mount isa,-20.7333,139.5,16.73,26,0,11.7,AU,1690178400
162,levuka,50.1834,-105.4011,20.01,49,4,3.77,CA,1690178400
163,vygonichi,53.0985,34.0673,16.17,78,98,3.81,RU,1690178400
164,kone,-21.0595,164.8658,21.16,52,82,2.09,NC,1690178400
165,egilsstadir,65.2653,-14.3948,8.79,95,100,1.43,IS,1690178400
166,dudinka,69.4058,86.1778,20.66,61,100,3.85,RU,1690178400
167,khamharia,20.9833,82.2667,30.46,72,70,2.58,IN,1690178400
168,huanren,41.2647,125.3667,29.21,59,66,3.06,CN,1690178400
169,saipan,15.1355,145.701,29.55,92,83,6.97,MP,1690178400
170,altamont,42.2068,-121.7372,23.41,47,33,2.3,US,1690178400
171,wailua homesteads,22.0669,-159.378,24.72,86,75,4.95,US,1690178400
172,lebu,-37.6167,-73.65,8.34,87,60,3.5,CL,1690178400
173,lima,-12.0432,-77.0282,19.75,80,80,3.56,PE,1690178400
174,ancud,-41.8697,-73.8203,4.25,85,100,4.13,CL,1690178400
175,palasa,18.7667,84.4167,30.26,75,69,5.84,IN,1690178400
176,fort mcmurray,56.7268,-111.381,21.42,73,27,1.74,CA,1690178400
177,hithadhoo,-0.6,73.0833,28.47,77,47,5.67,MV,1690178400
178,raja,8.4596,25.678,24.15,86,64,1.34,SS,1690178400
179,shantobe,52.4581,68.1839,22.34,57,17,4.58,KZ,1690178400
180,lompoc,34.6391,-120.4579,18.03,91,78,2.88,US,1690178400
181,mount gambier,-37.8333,140.7667,13.83,66,80,3.35,AU,1690178400
182,vegreville,53.5001,-112.0518,19.79,84,68,3.62,CA,1690178400
183,sabang,5.8933,95.3214,28.51,73,68,11.47,ID,1690178400
184,concepcion de la sierra,-27.9831,-55.5203,19.28,85,1,1.74,AR,1690178400
185,hadibu,12.65,54.0333,25.14,78,100,12.46,YE,1690178400
186,midvagur,62.0511,-7.1939,8.95,83,80,3.1,FO,1690178400
187,bonthe,7.5264,-12.505,24.85,87,98,2.86,SL,1690178400
188,haiku-pauwela,20.9219,-156.3051,26.53,73,23,6.13,US,1690178400
189,asifabad,19.3667,79.2833,27.32,84,81,3.59,IN,1690178400
190,weno,7.4515,151.8468,28.01,77,100,5.41,FM,1690178400
191,st. john's,47.5649,-52.7093,20.43,96,83,4.24,CA,1690178400
192,arteche,12.2645,125.4048,27.78,79,100,8.11,PH,1690178400
193,tchollire,8.4022,14.1698,22.12,88,98,1.16,CM,1690178400
194,hermanus,-34.4187,19.2345,10.81,66,59,2.75,ZA,1690178400
195,moose jaw,50.4001,-105.5344,23.47,49,4,3.9,CA,1690178400
196,saint-laurent-du-maroni,5.5039,-54.0289,23.57,92,38,1.18,GF,1690178400
197,bikenibeu village,1.3673,173.1241,30.67,70,67,4.17,KI,1690178400
198,taraz,42.9,71.3667,37.17,21,0,6.36,KZ,1690178400
199,hasaki,35.7333,140.8333,29.86,69,67,5.57,JP,1690178400
200,nakhchivan,39.2089,45.4122,29.49,37,52,0.76,AZ,1690178400
201,qaqortoq,60.7167,-46.0333,7.91,90,29,2.39,GL,1690178400
202,cadale,2.7603,46.3222,26.45,77,73,9.69,SO,1690178400
203,bubaque,11.2833,-15.8333,26.8,81,100,3.27,GW,1690178400
204,konibodom,40.2843,70.4426,36.74,19,0,2.39,TJ,1690178400
205,puerto santa,-8.9906,-78.6456,20.38,83,28,4.67,PE,1690178400
206,sandnessjoen,66.0217,12.6316,11.77,95,83,0.67,NO,1690178400
207,tumaco,1.7986,-78.8156,25.94,88,43,1.85,CO,1690178400
208,pisco,-13.7,-76.2167,19.55,78,69,0.59,PE,1690178400
209,claveria,18.6074,121.0832,29.48,74,97,4.29,PH,1690178400
210,newman,37.3138,-121.0208,28.49,33,48,2.73,US,1690178400
211,kragero,58.8693,9.4149,13.86,79,99,5.93,NO,1690178400
212,ormara,25.2088,64.6357,29.8,78,100,1.73,PK,1690178400
213,cafayate,-26.073,-65.9761,11.45,62,67,1.09,AR,1690178400
214,whitehorse,60.7161,-135.0538,14.23,92,99,4.28,CA,1690178400
215,kujang-up,39.8672,126.0303,27.92,76,40,2.69,KP,1690178400
216,kismayo,-0.3582,42.5454,26.6,77,92,7.71,SO,1690178400
217,badger,64.8,-147.5333,27.88,50,31,1.76,US,1690178400
218,remire-montjoly,4.9167,-52.2667,25.01,92,11,3.91,GF,1690178400
219,taro,-8.3862,115.28,26.0,57,17,1.85,ID,1690178400
220,prince rupert,54.3161,-130.3201,14.2,84,78,1.55,CA,1690178400
221,aasiaat,68.7098,-52.8699,3.08,99,100,2.73,GL,1690178400
222,kpandu,6.9954,0.2931,22.8,94,100,0.47,GH,1690178400
223,saint-pourcain-sur-sioule,46.3093,3.2879,17.49,94,100,2.17,FR,1690178400
224,novyy urgal,51.0736,132.5642,19.46,88,100,2.15,RU,1690178400
225,northam,51.0333,-4.2167,15.0,95,97,0.56,GB,1690178400
226,avon park,27.5959,-81.5062,25.98,82,98,2.43,US,1690178400
227,hamilton,39.1834,-84.5333,19.52,79,3,0.94,US,1690178400
228,kamaishi,39.2667,141.8833,27.63,68,100,4.02,JP,1690178400
229,kruisfontein,-34.0033,24.7314,9.58,82,70,3.85,ZA,1690178400
230,garachico,28.7781,-17.7646,20.45,75,20,6.54,ES,1690178400
231,port moresby,-9.4431,147.1797,27.68,57,63,4.59,PG,1690178400
232,sinabang,2.4803,96.3801,29.43,67,93,0.29,ID,1690178400
233,enewetak,11.3474,162.3373,28.7,75,70,7.1,MH,1690178400
234,awjilah,29.1081,21.2869,32.19,29,0,3.05,LY,1690178400
235,san pedro,14.35,121.0167,28.76,80,81,6.6,PH,1690178400
236,alva,56.1528,-3.8051,9.48,89,5,1.02,GB,1690178400
237,gannan,47.9147,123.5031,20.85,83,100,4.3,CN,1690178400
238,gejiu,23.306,103.1635,23.45,71,97,2.61,CN,1690178400
239,howrah,22.5892,88.3103,34.63,70,52,5.22,IN,1690178400
240,flying fish cove,-10.4217,105.6791,25.4,78,71,6.99,CX,1690178400
241,sitka,57.0531,-135.33,14.18,85,75,1.31,US,1690178400
242,santa elena de uairen,4.6167,-61.1333,19.66,94,95,0.68,VE,1690178400
243,turaif,31.6725,38.6637,30.21,34,0,3.6,SA,1690178400
244,dhidhdhoo,6.8833,73.1,28.4,80,99,6.92,MV,1690178400
245,terrace,54.5163,-128.6035,14.0,92,83,0.63,CA,1690178400
246,nieuw amsterdam,5.8833,-55.0833,26.46,86,58,2.31,SR,1690178400
247,east london,-33.0153,27.9116,13.65,65,58,6.9,ZA,1690178400
